month,number
1900-01,9.4
1900-02,13.6
1900-03,8.6
1900-04,16
1900-05,15.2
1900-06,12.1
1900-07,8.3
1900-08,4.3
1900-09,8.3
1900-10,12.9
1900-11,4.5
1900-12,0.3
1901-01,0.2
1901-02,2.4
1901-03,4.5
1901-04,0
1901-05,10.2
1901-06,5.8
1901-07,0.7
1901-08,1
1901-09,0.6
1901-10,3.7
1901-11,3.8
1901-12,0
1902-01,5.2
1902-02,0
1902-03,12.4
1902-04,0
1902-05,2.8
1902-06,1.4
1902-07,0.9
1902-08,2.3
1902-09,7.6
1902-10,16.3
1902-11,10.3
1902-12,1.1
1903-01,8.3
1903-02,17
1903-03,13.5
1903-04,26.1
1903-05,14.6
1903-06,16.3
1903-07,27.9
1903-08,28.8
1903-09,11.1
1903-10,38.9
1903-11,44.5
1903-12,45.6
1904-01,31.6
1904-02,24.5
1904-03,37.2
1904-04,43
1904-05,39.5
1904-06,41.9
1904-07,50.6
1904-08,58.2
1904-09,30.1
1904-10,54.2
1904-11,38
1904-12,54.6
1905-01,54.8
1905-02,85.8
1905-03,56.5
1905-04,39.3
1905-05,48
1905-06,49
1905-07,73
1905-08,58.8
1905-09,55
1905-10,78.7
1905-11,107.2
1905-12,55.5
1906-01,45.5
1906-02,31.3
1906-03,64.5
1906-04,55.3
1906-05,57.7
1906-06,63.2
1906-07,103.6
1906-08,47.7
1906-09,56.1
1906-10,17.8
1906-11,38.9
1906-12,64.7
1907-01,76.4
1907-02,108.2
1907-03,60.7
1907-04,52.6
1907-05,42.9
1907-06,40.4
1907-07,49.7
1907-08,54.3
1907-09,85
1907-10,65.4
1907-11,61.5
1907-12,47.3
1908-01,39.2
1908-02,33.9
1908-03,28.7
1908-04,57.6
1908-05,40.8
1908-06,48.1
1908-07,39.5
1908-08,90.5
1908-09,86.9
1908-10,32.3
1908-11,45.5
1908-12,39.5
1909-01,56.7
1909-02,46.6
1909-03,66.3
1909-04,32.3
1909-05,36
1909-06,22.6
1909-07,35.8
1909-08,23.1
1909-09,38.8
1909-10,58.4
1909-11,55.8
1909-12,54.2
1910-01,26.4
1910-02,31.5
1910-03,21.4
1910-04,8.4
1910-05,22.2
1910-06,12.3
1910-07,14.1
1910-08,11.5
1910-09,26.2
1910-10,38.3
1910-11,4.9
1910-12,5.8
1911-01,3.4
1911-02,9
1911-03,7.8
1911-04,16.5
1911-05,9
1911-06,2.2
1911-07,3.5
1911-08,4
1911-09,4
1911-10,2.6
1911-11,4.2
1911-12,2.2
1912-01,0.3
1912-02,0
1912-03,4.9
1912-04,4.5
1912-05,4.4
1912-06,4.1
1912-07,3
1912-08,0.3
1912-09,9.5
1912-10,4.6
1912-11,1.1
1912-12,6.4
1913-01,2.3
1913-02,2.9
1913-03,0.5
1913-04,0.9
1913-05,0
1913-06,0
1913-07,1.7
1913-08,0.2
1913-09,1.2
1913-10,3.1
1913-11,0.7
1913-12,3.8
1914-01,2.8
1914-02,2.6
1914-03,3.1
1914-04,17.3
1914-05,5.2
1914-06,11.4
1914-07,5.4
1914-08,7.7
1914-09,12.7
1914-10,8.2
1914-11,16.4
1914-12,22.3
1915-01,23
1915-02,42.3
1915-03,38.8
1915-04,41.3
1915-05,33
