DATE,STLFSI
2017-04-21,-1.263
2017-04-28,-1.367
2017-05-05,-1.392
2017-05-12,-1.436
2017-05-19,-1.420
2017-05-26,-1.489
2017-06-02,-1.524
2017-06-09,-1.535
2017-06-16,-1.514
2017-06-23,-1.457
2017-06-30,-1.458
2017-07-07,-1.428
2017-07-14,-1.459
2017-07-21,-1.548
2017-07-28,-1.561
2017-08-04,-1.538
2017-08-11,-1.466
2017-08-18,-1.441
2017-08-25,-1.437
2017-09-01,-1.469
2017-09-08,-1.475
2017-09-15,-1.498
2017-09-22,-1.512
2017-09-29,-1.519
2017-10-06,-1.509
2017-10-13,-1.526
2017-10-20,-1.539
2017-10-27,-1.504
2017-11-03,-1.576
2017-11-10,-1.585
2017-11-17,-1.533
2017-11-24,-1.580
2017-12-01,-1.558
2017-12-08,-1.531
2017-12-15,-1.515
2017-12-22,-1.450
2017-12-29,-1.473
2018-01-05,-1.482
2018-01-12,-1.486
2018-01-19,-1.458
2018-01-26,-1.427
2018-02-02,-1.350
2018-02-09,-1.062
2018-02-16,-1.145
2018-02-23,-1.174
